tname	rgenename	tgenename
Body wall	AstC-R2	Adf1,bbx,croc,onecut,Ptx1
Body wall	CrzR	Atf3,BtbVII,crc,ERR,foxo,Hsf,Mef2,mirr,Mondo,Sox102F,Trf2,Ubx,vvl,Xbp1
Body wall	FMRFaR	BtbVII,Cf2,CHES-1-like,crp,Dr,EcR,Hnf4,Hr78,jim,kay,Mef2,net,pan,pnt,sr,svp,vri
Body wall	NPFR	CG8281,jim,sr
Body wall	PK1-R	CG34367,grh,pdm3
Body wall	Pdfr	BtbVII,Cf2,CG16779,CHES-1-like,Dif,EcR,foxo,jim,Mef2,nej,ovo,pan,Pdp1,Rel,sd,Sox102F,srp,Trf2
Body wall	SIFaR	bab1,CG16779,CG34367,Drgx,FoxP,HGTX,onecut,repo,vnd,Vsx1
Body wall	TkR86C	H15,HGTX,onecut,pdm3,TfAP-2
Body wall	sNPF-R	acj6,C15,CG16779,Drgx,Ets65A,FoxP,NfI,onecut,pan,repo,Rx,sr,tin,toy,tup,vnd,Vsx1
Fat body	AstA-R1	al,Atf3,bs,BtbVII,Cf2,cg,CHES-1-like,Cnot4,crc,CrebA,dmrt11E,EcR,foxo,ftz-f1,GATAd,kay,ken,maf-S,Max,Mef2,Myc,Nf-YA,NK7.1,OdsH,Pph13,REPTOR-BP,slou,Sox14,srp,Tet,trx,vri,Xbp1,Zif
Fat body	AstA-R2	Abd-B,bab1,Cf2,Dif,FoxP,Jra,NfI,pan,Scr,sr
Fat body	AstC-R1	Drgx,E2f2,Rfx,slp1
Fat body	AstC-R2	bab1,bin,BtbVII,CG17829,croc,E2f2,hng1,Jra,Kah,ken,Max,pita,Trf2,Zif
Fat body	CapaR	CG3065,da,E2f2,Hsf,ken,Spps,tgo
Fat body	CrzR	Atf3,CG16779,Cnot4,Dr,ERR,foxo,Hnf4,Hr78,kay,sqz,SREBP,Trf2,vri,vvl,Xbp1
Fat body	FMRFaR	bin,croc,Hand,Kah,Mef2,pan,sr,tup
Fat body	NPFR	disco-r,Hand,Kah
Fat body	PK1-R	E2f2,grh,Gsc,Jra
Fat body	Pdfr	Abd-B,Cf2,CHES-1-like,Dif,Dp,foxo,jim,Mef2,Mondo,Myc,pan,Sox102F,Trf2,vri
Fat body	SIFaR	Abl,achi,bab1,CG16779,CG17829,CG4730,crc,Ets96B,Gsc,hng1,Hsf,Jra,maf-S,Max,Oli,Rfx,Trf2,Vsx2,Zif
Fat body	TkR86C	bs,Cf2,CG34367,Cnot4,slou,Trf2,Zif
Fat body	sNPF-R	abd-A,CG16779,disco-r,ey,GATAe,Gsc,gt,kay,kn,NK7.1,onecut,pnt,slp1,Trf2,tup,Vsx1,Vsx2
Gut	AstA-R1	Abl,Atf3,BtbVII,Cf2,CG10431,CHES-1-like,cnc,Cnot4,CrebB,cwo,cyc,Dp,dpn,esg,fkh,foxo,GATAe,HLH4C,Hr4,Hsf,jigr1,jim,Jra,kay,klu,Mef2,Mitf,mor,Myc,onecut,Pdp1,peng,pnt,Rbf,Rel,Rx,sc,sna,Tet,Trf2,trx,usp,Xbp1,zfh2
Gut	AstA-R2	abd-A,acj6,bin,crp,Dif,FoxP,Hand,hth,Mef2,Myc,NfI,sr
Gut	AstC-R1	bin,cnc,fkh,FoxP,Hnf4,hth,NfI,org-1,slp1,slp2,sr,Xrp1
Gut	AstC-R2	amos,bin,croc,Hand,hth,lbl,Mef2,org-1
Gut	CapaR	ken
Gut	CrzR	br,CG18599,CG34367,CrebA,Doc3,Hr4,lov,oc,org-1,Rel,Sox14,Sox21b
Gut	FMRFaR	Abd-B,amos,bin,croc,Dif,fkh,FoxP,hth,Rfx,slp1,slp2,sr
Gut	NPFR	Atf3,Cf2,cnc,CrebA,CrebB,CycT,Dif,Doc3,Dp,ERR,foxo,GATAe,HDAC1,Hsf,hth,Jra,kay,Mef2,Pdp1,peng,Rbf,Rel,Tet,ttk,vtd,Xbp1
Gut	PK1-R	crc,E2f1,Eip74EF,ftz-f1,grh,Hr39
Gut	Pdfr	bin,Dif,Doc2,fkh,FoxP,Hnf4,hng1,hth,Myc,NfI,sr,sv,Trf2
Gut	SIFaR	Atf6,BtbVII,Cf2,crp,cwo,ham,Max,Myc,SoxN,vtd
Gut	TkR86C	cad,cwo,Doc3,ERR,hth,Jra,peng,Trf2
Gut	sNPF-R	Abd-B,ara,Atf3,br,BtbVII,Cf2,cnc,Cnot4,CrebA,CrebB,cwo,Dif,Dp,Ets21C,foxo,GATAe,HGTX,HLH54F,Hnf4,jim,Jra,kay,Lim1,Lim3,lms,luna,maf-S,Mef2,Myc,Pdp1,Ptx1,Rel,tap,Tet,Trf2,trx,Xbp1
Haltere	AstA-R1	Abd-B,achi,aop,bru3,BtbVII,cnc,Dp,grn,jim,Kdm4B,Mef2,onecut,pan,peb,Rfx,ro,Sidpn,sima,Trf2
Haltere	AstC-R1	bru3,exd,FoxK,grn,Hr38,jim,mid,Nf-YA,oc,onecut,peb,Rfx,Trf
Haltere	AstC-R2	abd-A,Abd-B,br,ey,Scr
Haltere	CrzR	B-H2,cbt,Cnot4,Dp,dsx,egg,ems,ERR,svp,TfIIA-S
Haltere	FMRFaR	Antp,aop,bru3,Clk,CrebB,EcR,Eip75B,grn,Hr38,jim,onecut,pan,pnt,REPTOR-BP,Rfx,sqz
Haltere	NPFR	CG17829,CycT,da,REPTOR-BP,Rfx
Haltere	PK1-R	cyc,grh,grn,pnr
Haltere	Pdfr	Cf2,CHES-1-like,crc,E2f1,hng1,jim,Jra,Kdm4B,Mef2,Mondo,Myc,nej,ovo,Pdp1,srp,svp,Trf2,usp,vri
Haltere	SIFaR	Abl,bab1,Dlip3,E2f2,ftz-f1,Mef2,Nf1,peb,Rfx
Haltere	TkR86C	cwo,egg,Ets97D,hth,NfI,onecut,peb
Haltere	sNPF-R	bab1,bru3,CG6276,foxo,jim,kn,Mef2,Mes4,onecut,peb,repo,scro,slp2,Sox102F,svp,Tbp,Trf2
Heart	AstA-R1	acj6,Bgb,bs,BtbVII,Dp,Jra,lz,Mef2,Mitf,onecut,pan,Rbf,REPTOR-BP,Rfx,ss
Heart	AstA-R2	abd-A,acj6,bap,crp,ems,ftz-f1,Hand,Mef2,NfI,onecut,sd,so,sr,trx
Heart	AstC-R1	Abd-B,B-H1,bs,CG9609,crp,CTCF,Dp,ems,FoxP,Max,Nf-YC,Nf1,NfI,pb,pnt,sob,sr,Taf7,Traf4
Heart	AstC-R2	acj6,Atf3,Ets96B,Hr38,kay,Lim3,lms
Heart	CapaR	bs,BtbVII,Cf2,CG17829,CG9609,CG9650,crc,CrebB,Dp,ERR,GATAd,GATAe,Jra,kay,Myc,sug,vri
Heart	CrzR	Atf3,Atf6,br,CrebB,emc,ERR,foxo,Hnf4,Hsf,kay,Myc,Pdp1,Rel,sima,SREBP,ss,Trf2,tup,Xbp1
Heart	FMRFaR	Atf3,B-H1,BtbVII,CHES-1-like,Cnot4,crp,da,Dif,Hr38,jim,kay,lz,Mef2,Myc,NfI,sr,sv,Trf2
Heart	NPFR	Atf3,bs,crc,CrebB,crp,CTCF,CycT,da,Doc1,Doc2,Dp,E2f1,EcR,GATAd,GATAe,Jra,kay,Mef2,Myc,Pdp1,Ptx1,Rel,RpII215,sug,Xbp1
Heart	PK1-R	grh,srp
Heart	Pdfr	Atf3,cbt,Cf2,ci,CrebB,crp,Dif,Ets98B,foxo,grh,jim,kay,Mef2,Nf1,Pdp1,Sox102F,srp,sug
Heart	SIFaR	Atf3,bap,br,bs,BtbVII,Cf2,CHES-1-like,Cnot4,crc,CrebB,crp,CycT,da,Dp,E2f1,EcR,Ets21C,ftz-f1,GATAd,Hand,Hnf4,Hr39,Hsf,Jra,kay,maf-S,Mef2,mirr,Myc,Nf1,pb,Pdp1,Rel,RpII215,so,svp,Trf2,trx,vri,Xbp1
Heart	TkR86C	bs,cg,CG9609,CHES-1-like,Cnot4,CrebA,CrebB,crp,Doc2,Ets96B,GATAd,GATAe,Hr39,Jra,kay,Mef2,Myc,Rel,Sin3A,Xbp1
Heart	sNPF-R	bbx,bs,BtbVII,Cf2,CG3407,CHES-1-like,crp,Dif,E2f1,E5,ems,exd,foxo,ftz-f1,grh,Hr39,Max,Mef2,Mitf,NfI,Pdp1,pnt,Rel,rump,sd,sr,srp,trx,tup
Leg	AstA-R1	Abl,aop,Atac3,CG9650,CrebB,Eip74EF,fkh,FoxK,foxo,Hnf4,hth,jim,kay,Lim1,lms,onecut,pan,peb,Rbp6,Rfx,Rx,sd,Sidpn,Usf,vvl,Xbp1
Leg	AstC-R1	acj6,kn,Lim3,onecut,peb,repo
Leg	AstC-R2	acj6,kn,lbl,Lim3,onecut,Rfx,Rx,Taf7,vnd
