tf	tfcount	gene	gcount	nprtype
Dif_(-)-NPR	1037	AstA-R1	6	npr
Dif_(-)-NPR	20	AstA-R2	100	npr
Dif_(-)-NPR	2089	Pdfr	215	npr
Dif_(-)-NPR	44	PK1-R	2	npr
Dif_(-)-NPR	1613	sNPF-R	20	npr
Dif_(-)-NPR	113	TkR86C	60	npr
disco-r_(+)-NPR	11	NPFR	12	npr
disco-r_(+)-NPR	82	sNPF-R	3	npr
Dlip3_(+)-NPR	12	SIFaR	5	npr
Dll_(+)-NPR	3682	CrzR	67	npr
Dll_(+)-NPR	49	NPFR	4	npr
Dll_(+)-NPR	228	PK1-R	6	npr
Dll_(+)-NPR	1877	TkR86C	1	npr
Dll_(-)-NPR	1731	TkR86C	1	npr
dmrt11E_(+)-NPR	1707	AstA-R1	1	npr
dmrt93B_(+)-NPR	1168	AstA-R1	39	npr
Doc1_(+)-NPR	7	NPFR	2	npr
Doc2_(+)-NPR	3776	CrzR	2	npr
Doc2_(+)-NPR	7	NPFR	3	npr
Doc2_(+)-NPR	361	Pdfr	2	npr
Doc2_(+)-NPR	13	TkR86C	4	npr
Doc3_(+)-NPR	3433	CapaR	6	npr
Doc3_(+)-NPR	1	CrzR	3	npr
Doc3_(+)-NPR	39	NPFR	10	npr
Doc3_(+)-NPR	5	TkR86C	8	npr
dpn_(+)-NPR	41	AstA-R1	3	npr
Dp_(+)-NPR	6513	AstA-R1	43	npr
Dp_(+)-NPR	124	AstC-R1	5	npr
Dp_(+)-NPR	10	AstC-R2	3	npr
Dp_(+)-NPR	15	CapaR	30	npr
Dp_(+)-NPR	49	CrzR	3	npr
Dp_(+)-NPR	3275	NPFR	39	npr
Dp_(+)-NPR	12121	Pdfr	98	npr
Dp_(+)-NPR	3681	SIFaR	9	npr
Dp_(+)-NPR	695	sNPF-R	6	npr
Dp_(-)-NPR	644	NPFR	32	npr
Dp_(-)-NPR	45	sNPF-R	3	npr
Dref_(+)-NPR	219	TkR86C	4	npr
Drgx_(+)-NPR	140	AstC-R1	82	npr
Drgx_(+)-NPR	1293	Pdfr	31	npr
Drgx_(+)-NPR	25	SIFaR	25	npr
Drgx_(+)-NPR	218	sNPF-R	33	npr
Dr_(+)-NPR	617	AstA-R1	14	npr
Dr_(+)-NPR	96	AstA-R2	47	npr
Dr_(+)-NPR	21	AstC-R2	1	npr
Dr_(+)-NPR	526	CrzR	7	npr
Dr_(+)-NPR	3783	sNPF-R	2	npr
Dr_(-)-NPR	376	AstA-R1	14	npr
Dr_(-)-NPR	96	AstA-R2	47	npr
Dr_(-)-NPR	404	CrzR	2	npr
Dr_(-)-NPR	1460	FMRFaR	1	npr
dsx_(+)-NPR	50	CrzR	10	npr
dsx_(-)-NPR	24247	AstA-R1	1	npr
dsx_(-)-NPR	50	CrzR	10	npr
dysf_(+)-NPR	6464	PK1-R	113	npr
D_(+)-NPR	30	AstC-R1	98	npr
D_(+)-NPR	19077	Pdfr	6	npr
D_(+)-NPR	39	TkR86C	5	npr
E2f1_(-)-NPR	9737	AstA-R1	29	npr
E2f1_(-)-NPR	75	AstA-R2	41	npr
E2f1_(-)-NPR	16	AstC-R1	1	npr
E2f1_(-)-NPR	31	AstC-R2	16	npr
E2f1_(-)-NPR	3004	CapaR	1	npr
E2f1_(-)-NPR	7174	FMRFaR	2	npr
E2f1_(-)-NPR	2773	NPFR	46	npr
E2f1_(-)-NPR	615	Pdfr	8	npr
E2f1_(-)-NPR	890	PK1-R	1	npr
E2f1_(-)-NPR	280	SIFaR	46	npr
E2f1_(-)-NPR	1154	sNPF-R	2	npr
E2f2_(+)-NPR	1169	AstA-R1	1	npr
E2f2_(+)-NPR	24	AstC-R1	3	npr
E2f2_(+)-NPR	50	AstC-R2	2	npr
E2f2_(+)-NPR	15	CapaR	4	npr
E2f2_(+)-NPR	226	PK1-R	1	npr
E2f2_(+)-NPR	12	SIFaR	21	npr
E2f2_(-)-NPR	1169	AstA-R1	1	npr
E5_(+)-NPR	3682	CrzR	83	npr
E5_(+)-NPR	2994	sNPF-R	119	npr
EcR_(+)-NPR	3810	AstA-R1	1	npr
EcR_(+)-NPR	42	AstC-R2	1	npr
EcR_(+)-NPR	207	CrzR	2	npr
EcR_(+)-NPR	1544	FMRFaR	6	npr
EcR_(+)-NPR	8	NPFR	4	npr
EcR_(+)-NPR	1145	Pdfr	6	npr
EcR_(+)-NPR	271	SIFaR	5	npr
EcR_(-)-NPR	3398	AstA-R1	1	npr
EcR_(-)-NPR	42	AstC-R2	1	npr
EcR_(-)-NPR	179	CrzR	2	npr
EcR_(-)-NPR	54	FMRFaR	1	npr
EcR_(-)-NPR	260	SIFaR	1	npr
egg_(+)-NPR	50	CrzR	8	npr
egg_(+)-NPR	10	SIFaR	1	npr
egg_(+)-NPR	278	sNPF-R	1	npr
egg_(+)-NPR	4	TkR86C	7	npr
Eip74EF_(+)-NPR	1514	AstA-R1	2	npr
Eip74EF_(+)-NPR	965	AstA-R2	96	npr
Eip74EF_(+)-NPR	10332	AstC-R1	1	npr
Eip74EF_(+)-NPR	886	PK1-R	1	npr
Eip74EF_(+)-NPR	2911	SIFaR	4	npr
Eip74EF_(+)-NPR	1201	TkR86C	2	npr
Eip74EF_(-)-NPR	1172	AstA-R1	1	npr
Eip74EF_(-)-NPR	968	AstA-R2	96	npr
Eip74EF_(-)-NPR	890	PK1-R	1	npr
Eip74EF_(-)-NPR	1127	TkR86C	2	npr
Eip75B_(+)-NPR	1323	AstA-R1	64	npr
Eip75B_(+)-NPR	82	FMRFaR	2	npr
Eip75B_(-)-NPR	1162	AstA-R1	64	npr
Eip75B_(-)-NPR	82	FMRFaR	2	npr
emc_(+)-NPR	3517	CrzR	1	npr
emc_(+)-NPR	5616	FMRFaR	1	npr
emc_(-)-NPR	6582	FMRFaR	1	npr
ems_(+)-NPR	151	AstA-R2	1	npr
ems_(+)-NPR	122	AstC-R1	7	npr
ems_(+)-NPR	4146	CrzR	147	npr
ems_(+)-NPR	556	PK1-R	24	npr
ems_(+)-NPR	245	sNPF-R	79	npr
ems_(-)-NPR	930	CrzR	89	npr
Eno_(+)-NPR	10	SIFaR	1	npr
erm_(+)-NPR	51	AstA-R1	1	npr
ERR_(-)-NPR	2201	CrzR	2	npr
ERR_(-)-NPR	263	FMRFaR	1	npr
ERR_(-)-NPR	138	NPFR	24	npr
ERR_(-)-NPR	6	TkR86C	52	npr
esg_(+)-NPR	9477	AstA-R1	98	npr
Ets21C_(+)-NPR	16	SIFaR	66	npr
Ets21C_(+)-NPR	473	sNPF-R	4	npr
Ets21C_(-)-NPR	308	sNPF-R	2	npr
Ets65A_(+)-NPR	11139	AstC-R1	3	npr
Ets65A_(+)-NPR	7658	AstC-R2	12	npr
Ets65A_(+)-NPR	7206	FMRFaR	23	npr
Ets65A_(+)-NPR	3609	SIFaR	38	npr
Ets65A_(+)-NPR	218	sNPF-R	4	npr
Ets65A_(+)-NPR	673	TkR86C	11	npr
Ets65A_(-)-NPR	3976	AstC-R1	2	npr
Ets65A_(-)-NPR	2644	AstC-R2	12	npr
Ets65A_(-)-NPR	1150	SIFaR	5	npr
Ets97D_(+)-NPR	4	TkR86C	8	npr
Ets98B_(+)-NPR	1484	FMRFaR	2	npr
Ets98B_(+)-NPR	2875	Pdfr	2	npr
Ets98B_(+)-NPR	233	TkR86C	3	npr
Ets98B_(-)-NPR	3407	AstA-R1	3	npr
Ets98B_(-)-NPR	1484	FMRFaR	2	npr
Ets98B_(-)-NPR	2973	Pdfr	2	npr
Ets98B_(-)-NPR	649	SIFaR	1	npr
Ets98B_(-)-NPR	233	TkR86C	3	npr
ewg_(+)-NPR	8123	AstA-R1	13	npr
ewg_(+)-NPR	62	SIFaR	1	npr
ewg_(+)-NPR	2323	sNPF-R	2	npr
exd_(+)-NPR	12	AstC-R1	1	npr
exd_(+)-NPR	1469	SIFaR	1	npr
exd_(+)-NPR	2777	sNPF-R	4	npr
eyg_(+)-NPR	1637	sNPF-R	7	npr
ey_(+)-NPR	29637	AstA-R1	56	npr
ey_(+)-NPR	6	AstC-R2	61	npr
ey_(+)-NPR	250	sNPF-R	40	npr
fd102C_(+)-NPR	630	TkR86C	12	npr
fkh_(+)-NPR	15112	AstA-R1	108	npr
fkh_(+)-NPR	968	AstA-R2	37	npr
fkh_(+)-NPR	297	AstC-R1	84	npr
fkh_(+)-NPR	420	AstC-R2	10	npr
fkh_(+)-NPR	76	FMRFaR	37	npr
fkh_(+)-NPR	1043	Pdfr	58	npr
fkh_(+)-NPR	2911	SIFaR	1	npr
fkh_(+)-NPR	2700	TkR86C	72	npr
fkh_(-)-NPR	8283	AstA-R1	2	npr
fkh_(-)-NPR	265	AstC-R1	84	npr
fkh_(-)-NPR	359	AstC-R2	10	npr
fkh_(-)-NPR	74	FMRFaR	37	npr
fkh_(-)-NPR	355	Pdfr	52	npr
FoxK_(+)-NPR	11860	AstA-R1	48	npr
FoxK_(+)-NPR	913	AstC-R1	17	npr
FoxK_(+)-NPR	1164	Pdfr	1	npr
FoxK_(+)-NPR	3098	SIFaR	3	npr
FoxK_(+)-NPR	5215	sNPF-R	29	npr
FoxK_(+)-NPR	42	TkR86C	4	npr
FoxK_(-)-NPR	3238	AstA-R1	2	npr
FoxK_(-)-NPR	1327	SIFaR	2	npr
FoxK_(-)-NPR	1444	sNPF-R	28	npr
foxo_(-)-NPR	11047	AstA-R1	212	npr
foxo_(-)-NPR	1022	AstA-R2	141	npr
foxo_(-)-NPR	807	AstC-R1	1	npr
foxo_(-)-NPR	376	AstC-R2	69	npr
foxo_(-)-NPR	11356	CrzR	27	npr
foxo_(-)-NPR	3095	NPFR	53	npr
foxo_(-)-NPR	21252	Pdfr	237	npr
foxo_(-)-NPR	3592	PK1-R	9	npr
foxo_(-)-NPR	1095	SIFaR	17	npr
foxo_(-)-NPR	1012	sNPF-R	94	npr
foxo_(-)-NPR	1366	TkR86C	93	npr
FoxP_(+)-NPR	27657	AstA-R1	24	npr
FoxP_(+)-NPR	125	AstA-R2	117	npr
FoxP_(+)-NPR	10742	AstC-R1	128	npr
FoxP_(+)-NPR	5891	FMRFaR	101	npr
FoxP_(+)-NPR	359	Pdfr	1	npr
FoxP_(+)-NPR	18	SIFaR	1	npr
FoxP_(+)-NPR	218	sNPF-R	5	npr
FoxP_(-)-NPR	5219	AstA-R1	24	npr
FoxP_(-)-NPR	1157	AstC-R1	7	npr
FoxP_(-)-NPR	996	FMRFaR	1	npr
ftz-f1_(-)-NPR	2451	FMRFaR	2	npr
ftz-f1_(-)-NPR	890	PK1-R	3	npr
ftz-f1_(-)-NPR	12	SIFaR	2	npr
ftz_(+)-NPR	16	TkR86C	3	npr
grh_(-)-NPR	1169	AstA-R1	18	npr
grh_(-)-NPR	968	AstA-R2	100	npr
grh_(-)-NPR	154	AstC-R2	21	npr
grh_(-)-NPR	3978	PK1-R	202	npr
grh_(-)-NPR	225	sNPF-R	7	npr
grn_(+)-NPR	29523	AstA-R1	136	npr
grn_(+)-NPR	23	AstC-R1	1	npr
grn_(+)-NPR	4627	CrzR	1	npr
grn_(+)-NPR	82	FMRFaR	1	npr
grn_(+)-NPR	1293	Pdfr	18	npr
grn_(+)-NPR	718	PK1-R	4	npr
grn_(-)-NPR	16047	AstA-R1	102	npr
grn_(-)-NPR	23	AstC-R1	1	npr
grn_(-)-NPR	82	FMRFaR	1	npr
grn_(-)-NPR	1290	Pdfr	18	npr
grn_(-)-NPR	718	PK1-R	4	npr
gsb_(+)-NPR	479	SIFaR	3	npr
gsb_(+)-NPR	4	sNPF-R	2	npr
Gsc_(+)-NPR	7	AstA-R2	1	npr
Gsc_(+)-NPR	6	AstC-R2	2	npr
Gsc_(+)-NPR	539	Pdfr	13	npr
Gsc_(+)-NPR	224	PK1-R	2	npr
Gsc_(+)-NPR	36	SIFaR	33	npr
Gsc_(+)-NPR	289	sNPF-R	10	npr
gt_(+)-NPR	293	sNPF-R	9	npr
H15_(+)-NPR	252	TkR86C	5	npr
ham_(+)-NPR	670	AstA-R1	11	npr
ham_(+)-NPR	1250	NPFR	100	npr
ham_(+)-NPR	5823	Pdfr	39	npr
ham_(+)-NPR	17	SIFaR	68	npr
ham_(+)-NPR	2323	sNPF-R	46	npr
Hand_(+)-NPR	1050	AstA-R2	97	npr
Hand_(+)-NPR	1179	AstC-R2	104	npr
Hand_(+)-NPR	85	FMRFaR	2	npr
Hand_(+)-NPR	1260	NPFR	81	npr
Hand_(+)-NPR	5823	Pdfr	17	npr
Hand_(+)-NPR	14	SIFaR	72	npr
hbn_(+)-NPR	2658	AstC-R1	4	npr
hbn_(+)-NPR	495	SIFaR	1	npr
hb_(+)-NPR	1163	AstA-R1	1	npr
hb_(+)-NPR	1747	AstC-R1	1	npr
hb_(+)-NPR	615	AstC-R2	1	npr
hb_(+)-NPR	4472	Pdfr	2	npr
hb_(+)-NPR	450	sNPF-R	8	npr
hb_(-)-NPR	1169	AstA-R1	1	npr
HDAC1_(+)-NPR	81	NPFR	1	npr
her_(+)-NPR	589	AstA-R1	7	npr
HGTX_(-)-NPR	308	sNPF-R	1	npr
HHEX_(+)-NPR	67	AstC-R1	37	npr
HHEX_(+)-NPR	924	PK1-R	2	npr
HLH4C_(+)-NPR	1932	AstA-R1	24	npr
HLH54F_(+)-NPR	330	sNPF-R	20	npr
Hnf4_(-)-NPR	9807	AstA-R1	96	npr
Hnf4_(-)-NPR	966	AstA-R2	1	npr
Hnf4_(-)-NPR	945	AstC-R1	15	npr
Hnf4_(-)-NPR	334	AstC-R2	1	npr
Hnf4_(-)-NPR	12331	CrzR	323	npr
Hnf4_(-)-NPR	5680	FMRFaR	12	npr
Hnf4_(-)-NPR	5393	Pdfr	165	npr
Hnf4_(-)-NPR	4062	PK1-R	48	npr
Hnf4_(-)-NPR	845	SIFaR	21	npr
Hnf4_(-)-NPR	825	sNPF-R	28	npr
Hnf4_(-)-NPR	1421	TkR86C	8	npr
hng1_(+)-NPR	50	AstC-R2	2	npr
hng1_(+)-NPR	13	CrzR	1	npr
hng1_(+)-NPR	609	Pdfr	19	npr
hng1_(+)-NPR	36	SIFaR	2	npr
Hr38_(+)-NPR	23	AstC-R1	2	npr
Hr38_(+)-NPR	19	AstC-R2	3	npr
Hr38_(+)-NPR	5508	FMRFaR	15	npr
Hr38_(-)-NPR	11	AstC-R1	2	npr
Hr38_(-)-NPR	52	FMRFaR	8	npr
Hr39_(+)-NPR	8122	AstA-R1	1	npr
Hr39_(+)-NPR	833	AstA-R2	17	npr
Hr39_(+)-NPR	2630	AstC-R1	8	npr
Hr39_(+)-NPR	890	PK1-R	2	npr
Hr39_(+)-NPR	16	SIFaR	7	npr
Hr39_(+)-NPR	247	sNPF-R	6	npr
Hr39_(+)-NPR	13	TkR86C	13	npr
Hr39_(-)-NPR	890	PK1-R	2	npr
Hr3_(+)-NPR	3576	SIFaR	30	npr
Hr3_(-)-NPR	1369	SIFaR	29	npr
Hr4_(+)-NPR	1143	AstA-R1	22	npr
Hr4_(+)-NPR	13	CrzR	1	npr
Hr78_(-)-NPR	1462	FMRFaR	12	npr
Hsf_(+)-NPR	1493	AstA-R1	4	npr
Hsf_(+)-NPR	15	CapaR	17	npr
Hsf_(+)-NPR	12625	CrzR	18	npr
Hsf_(+)-NPR	3267	NPFR	3	npr
Hsf_(+)-NPR	931	SIFaR	5	npr
Hsf_(+)-NPR	3117	sNPF-R	22	npr
Hsf_(-)-NPR	398	AstA-R1	4	npr
Hsf_(-)-NPR	1374	CrzR	9	npr
Hsf_(-)-NPR	71	NPFR	2	npr
Hsf_(-)-NPR	2	SIFaR	1	npr
hth_(-)-NPR	27908	AstA-R1	81	npr
hth_(-)-NPR	82	AstA-R2	13	npr
hth_(-)-NPR	137	AstC-R1	6	npr
hth_(-)-NPR	7364	AstC-R2	3	npr
hth_(-)-NPR	17	CapaR	3	npr
hth_(-)-NPR	3547	CrzR	183	npr
hth_(-)-NPR	8103	FMRFaR	10	npr
hth_(-)-NPR	2563	NPFR	31	npr
hth_(-)-NPR	19992	Pdfr	27	npr
hth_(-)-NPR	2797	SIFaR	5	npr
hth_(-)-NPR	9776	sNPF-R	5	npr
hth_(-)-NPR	30	TkR86C	44	npr
ind_(+)-NPR	118	sNPF-R	1	npr
inv_(+)-NPR	2892	sNPF-R	18	npr
inv_(-)-NPR	2612	sNPF-R	4	npr
jigr1_(+)-NPR	650	AstA-R1	11	npr
jigr1_(+)-NPR	2406	TkR86C	2	npr
jim_(+)-NPR	22583	AstA-R1	377	npr
jim_(+)-NPR	1897	AstA-R2	194	npr
jim_(+)-NPR	2754	AstC-R1	147	npr
jim_(+)-NPR	196	AstC-R2	6	npr
jim_(+)-NPR	7464	FMRFaR	186	npr
jim_(+)-NPR	37	NPFR	1	npr
jim_(+)-NPR	26678	Pdfr	219	npr
jim_(+)-NPR	6715	sNPF-R	321	npr
jim_(-)-NPR	7993	AstA-R1	315	npr
jim_(-)-NPR	1046	AstA-R2	171	npr
jim_(-)-NPR	17	AstC-R1	56	npr
jim_(-)-NPR	196	AstC-R2	6	npr
jim_(-)-NPR	2822	FMRFaR	109	npr
jim_(-)-NPR	28	NPFR	1	npr
jim_(-)-NPR	3504	Pdfr	109	npr
jim_(-)-NPR	1669	sNPF-R	299	npr
jing_(+)-NPR	169	sNPF-R	1	npr
Jra_(-)-NPR	901	AstA-R1	2	npr
Jra_(-)-NPR	133	NPFR	4	npr
Jra_(-)-NPR	261	sNPF-R	2	npr
Jra_(-)-NPR	8	TkR86C	31	npr
jumu_(+)-NPR	8123	AstA-R1	10	npr
kay_(-)-NPR	5464	AstA-R1	210	npr
kay_(-)-NPR	954	AstA-R2	114	npr
kay_(-)-NPR	208	AstC-R2	189	npr
kay_(-)-NPR	15	CapaR	2	npr
kay_(-)-NPR	4152	CrzR	129	npr
kay_(-)-NPR	341	FMRFaR	83	npr
kay_(-)-NPR	2846	NPFR	190	npr
kay_(-)-NPR	2602	Pdfr	41	npr
kay_(-)-NPR	78	PK1-R	6	npr
kay_(-)-NPR	29	SIFaR	69	npr
kay_(-)-NPR	814	sNPF-R	120	npr
kay_(-)-NPR	1068	TkR86C	129	npr
Kdm2_(+)-NPR	173	sNPF-R	7	npr
ken_(+)-NPR	3813	AstA-R1	75	npr
ken_(+)-NPR	50	AstC-R2	1	npr
ken_(+)-NPR	18	CapaR	4	npr
klu_(+)-NPR	3803	AstA-R1	33	npr
klu_(+)-NPR	3603	CrzR	40	npr
klu_(+)-NPR	4438	FMRFaR	4	npr
klu_(+)-NPR	1492	TkR86C	22	npr
klu_(-)-NPR	1897	AstA-R1	32	npr
klu_(-)-NPR	1021	CrzR	21	npr
klu_(-)-NPR	12155	FMRFaR	20	npr
klu_(-)-NPR	1946	TkR86C	22	npr
knrl_(+)-NPR	664	Pdfr	3	npr
knrl_(+)-NPR	106	SIFaR	1	npr
knrl_(-)-NPR	1012	Pdfr	3	npr
knrl_(-)-NPR	171	SIFaR	1	npr
Kr_(+)-NPR	7658	AstC-R2	40	npr
Kr_(+)-NPR	5815	FMRFaR	12	npr
Kr_(+)-NPR	10186	sNPF-R	13	npr
lab_(+)-NPR	228	PK1-R	1	npr
lab_(+)-NPR	24	SIFaR	8	npr
lab_(+)-NPR	130	sNPF-R	2	npr
lbe_(+)-NPR	225	sNPF-R	55	npr
lbl_(+)-NPR	54	AstC-R2	11	npr
lbl_(+)-NPR	974	CrzR	79	npr
lbl_(+)-NPR	173	sNPF-R	3	npr
lbl_(-)-NPR	173	sNPF-R	3	npr
Lim1_(+)-NPR	4463	AstA-R1	12	npr
Lim1_(+)-NPR	334	AstC-R2	48	npr
Lim1_(+)-NPR	789	sNPF-R	41	npr
lms_(+)-NPR	1199	AstA-R1	9	npr
lms_(+)-NPR	7	AstC-R2	13	npr
lms_(+)-NPR	35	sNPF-R	1	npr
Lmx1a_(+)-NPR	183	AstA-R2	46	npr
Lmx1a_(+)-NPR	122	AstC-R1	1	npr
Lmx1a_(+)-NPR	486	SIFaR	5	npr
Lmx1a_(+)-NPR	14210	sNPF-R	86	npr
lola_(+)-NPR	1323	AstA-R1	1	npr
lola_(+)-NPR	825	AstC-R1	7	npr
lola_(+)-NPR	7206	FMRFaR	1	npr
lola_(-)-NPR	18	AstC-R1	6	npr
lola_(-)-NPR	207	CrzR	1	npr
lola_(-)-NPR	7203	FMRFaR	1	npr
lov_(+)-NPR	7799	AstA-R1	1	npr
lov_(+)-NPR	17	CrzR	1	npr
lz_(+)-NPR	1672	AstA-R1	174	npr
lz_(+)-NPR	132	FMRFaR	12	npr
Mad_(+)-NPR	23	AstA-R2	21	npr
Mad_(+)-NPR	415	sNPF-R	1	npr
maf-S_(+)-NPR	3731	AstA-R1	1	npr
maf-S_(+)-NPR	112	AstC-R2	4	npr
maf-S_(+)-NPR	52	SIFaR	3	npr
maf-S_(+)-NPR	9998	sNPF-R	6	npr
mamo_(-)-NPR	3158	CrzR	10	npr
Med_(+)-NPR	1	CrzR	1	npr
Med_(+)-NPR	190	sNPF-R	2	npr
Mef2_(-)-NPR	22212	AstA-R1	217	npr
Mef2_(-)-NPR	1120	AstA-R2	156	npr
Mef2_(-)-NPR	16	AstC-R1	39	npr
Mef2_(-)-NPR	388	AstC-R2	81	npr
Mef2_(-)-NPR	3904	CrzR	27	npr
Mef2_(-)-NPR	3903	FMRFaR	255	npr
Mef2_(-)-NPR	4802	NPFR	54	npr
Mef2_(-)-NPR	18184	Pdfr	176	npr
Mef2_(-)-NPR	226	PK1-R	1	npr
Mef2_(-)-NPR	2287	SIFaR	164	npr
Mef2_(-)-NPR	9575	sNPF-R	115	npr
Mef2_(-)-NPR	3945	TkR86C	213	npr
Mes4_(+)-NPR	51	sNPF-R	51	npr
mid_(+)-NPR	84	AstA-R2	20	npr
mid_(+)-NPR	23	AstC-R1	1	npr
mid_(+)-NPR	997	CrzR	1	npr
mid_(-)-NPR	766	CrzR	1	npr
mirr_(+)-NPR	4480	CrzR	26	npr
mirr_(+)-NPR	16	SIFaR	1	npr
mirr_(-)-NPR	2108	CrzR	2	npr
mirr_(-)-NPR	12	SIFaR	1	npr
Mondo_(+)-NPR	3833	AstA-R1	5	npr
Mondo_(+)-NPR	968	AstA-R2	39	npr
Mondo_(+)-NPR	894	AstC-R2	7	npr
Mondo_(+)-NPR	4795	CrzR	8	npr
Mondo_(+)-NPR	32008	Pdfr	33	npr
Mondo_(+)-NPR	1637	sNPF-R	1	npr
Mondo_(-)-NPR	1323	AstA-R1	2	npr
Mondo_(-)-NPR	967	AstA-R2	39	npr
Mondo_(-)-NPR	153	AstC-R2	1	npr
mor_(+)-NPR	287	AstA-R1	2	npr
Myc_(-)-NPR	12793	AstA-R1	432	npr
Myc_(-)-NPR	18	AstA-R2	100	npr
Myc_(-)-NPR	9	AstC-R2	34	npr
Myc_(-)-NPR	7	CapaR	55	npr
Myc_(-)-NPR	2262	CrzR	44	npr
Myc_(-)-NPR	7282	FMRFaR	93	npr
Myc_(-)-NPR	4	NPFR	10	npr
Myc_(-)-NPR	14808	Pdfr	199	npr
Myc_(-)-NPR	11	SIFaR	14	npr
Myc_(-)-NPR	376	sNPF-R	51	npr
Myc_(-)-NPR	11	TkR86C	38	npr
nej_(+)-NPR	773	AstA-R1	1	npr
nej_(+)-NPR	807	AstC-R1	1	npr
nej_(+)-NPR	2481	FMRFaR	10	npr
nej_(+)-NPR	9579	Pdfr	35	npr
nej_(+)-NPR	3747	SIFaR	12	npr
nej_(+)-NPR	14952	sNPF-R	19	npr
nej_(-)-NPR	1875	Pdfr	31	npr
nej_(-)-NPR	322	SIFaR	9	npr
nej_(-)-NPR	2394	sNPF-R	3	npr
nerfin-2_(+)-NPR	34	TkR86C	24	npr
net_(+)-NPR	208	CrzR	21	npr
net_(+)-NPR	1462	FMRFaR	2	npr
Nf-YA_(+)-NPR	3860	AstA-R1	4	npr
Nf-YA_(+)-NPR	22	AstC-R1	6	npr
Nf-YC_(+)-NPR	39	AstC-R1	2	npr
Nf1_(+)-NPR	748	AstA-R1	2	npr
Nf1_(+)-NPR	96	AstA-R2	4	npr
Nf1_(+)-NPR	94	AstC-R1	3	npr
Nf1_(+)-NPR	3213	Pdfr	9	npr
Nf1_(+)-NPR	7	SIFaR	2	npr
Nf1_(+)-NPR	404	sNPF-R	1	npr
NFAT_(+)-NPR	2503	AstA-R1	2	npr
NFAT_(+)-NPR	4627	CrzR	2	npr
NFAT_(+)-NPR	674	sNPF-R	35	npr
NfI_(-)-NPR	2508	AstA-R1	100	npr
NfI_(-)-NPR	109	AstA-R2	151	npr
NfI_(-)-NPR	3483	AstC-R1	159	npr
NfI_(-)-NPR	3868	FMRFaR	34	npr
NfI_(-)-NPR	1372	NPFR	69	npr
NfI_(-)-NPR	1276	Pdfr	59	npr
NfI_(-)-NPR	187	SIFaR	25	npr
NfI_(-)-NPR	4121	sNPF-R	109	npr
NfI_(-)-NPR	4	TkR86C	1	npr
NK7.1_(+)-NPR	3801	AstA-R1	1	npr
NK7.1_(+)-NPR	23	AstA-R2	11	npr
NK7.1_(+)-NPR	289	sNPF-R	1	npr
NK7.1_(-)-NPR	987	AstA-R2	108	npr
nub_(+)-NPR	96	AstA-R2	2	npr
nub_(-)-NPR	2204	FMRFaR	1	npr
oc_(+)-NPR	732	AstA-R1	51	npr
oc_(+)-NPR	13853	AstC-R1	247	npr
oc_(+)-NPR	5	CrzR	2	npr
oc_(+)-NPR	2911	SIFaR	32	npr
odd_(+)-NPR	10	SIFaR	3	npr
odd_(+)-NPR	312	sNPF-R	40	npr
OdsH_(+)-NPR	3717	AstA-R1	29	npr
Oli_(+)-NPR	2388	AstA-R1	22	npr
Oli_(+)-NPR	785	AstC-R1	3	npr
Oli_(+)-NPR	333	AstC-R2	1	npr
Oli_(+)-NPR	725	SIFaR	66	npr
Oli_(+)-NPR	2467	TkR86C	94	npr
onecut_(-)-NPR	4739	AstA-R1	92	npr
onecut_(-)-NPR	1603	AstC-R1	100	npr
onecut_(-)-NPR	1185	AstC-R2	18	npr
onecut_(-)-NPR	388	NPFR	6	npr
onecut_(-)-NPR	4716	Pdfr	8	npr
onecut_(-)-NPR	555	SIFaR	25	npr
onecut_(-)-NPR	2562	sNPF-R	27	npr
onecut_(-)-NPR	386	TkR86C	100	npr
orb_(+)-NPR	420	AstC-R2	59	npr
org-1_(+)-NPR	872	AstA-R2	76	npr
org-1_(+)-NPR	2823	AstC-R1	142	npr
org-1_(+)-NPR	1232	AstC-R2	64	npr
org-1_(+)-NPR	17	CrzR	6	npr
org-1_(+)-NPR	13	FMRFaR	7	npr
org-1_(+)-NPR	39	NPFR	39	npr
org-1_(+)-NPR	10	SIFaR	4	npr
otp_(+)-NPR	24213	AstA-R1	25	npr
otp_(+)-NPR	23	AstA-R2	29	npr
otp_(+)-NPR	2754	AstC-R1	102	npr
otp_(+)-NPR	1635	sNPF-R	66	npr
ovo_(+)-NPR	3278	AstA-R1	1	npr
ovo_(+)-NPR	10	AstC-R2	6	npr
ovo_(+)-NPR	1951	Pdfr	130	npr
ovo_(+)-NPR	632	SIFaR	6	npr
ovo_(+)-NPR	2568	sNPF-R	1	npr
ovo_(-)-NPR	3410	AstA-R1	1	npr
ovo_(-)-NPR	10	AstC-R2	6	npr
ovo_(-)-NPR	1930	Pdfr	130	npr
ovo_(-)-NPR	659	SIFaR	6	npr
ovo_(-)-NPR	2667	sNPF-R	1	npr
pan_(+)-NPR	42380	AstA-R1	555	npr
pan_(+)-NPR	1467	AstA-R2	142	npr
pan_(+)-NPR	30	AstC-R1	30	npr
pan_(+)-NPR	12382	FMRFaR	249	npr
pan_(+)-NPR	36253	Pdfr	348	npr
pan_(+)-NPR	4900	sNPF-R	21	npr
pan_(-)-NPR	641	AstA-R1	75	npr
