tname	annotation	tfgenename	tfcount	npgenename	npcount	nprgenename	nprcount
Head	skeletal muscle of head	svp	24	sNPF	24	sNPF-R	24
Head	subperineurial glial cell	Atac3	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	CG16779	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	CG44247	16	sNPF	16	sNPF-R	16
Head	subperineurial glial cell	Cf2	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	CrebB	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	E2f1	1	AstC	1	AstC-R2	1
Head	subperineurial glial cell	Mef2	13	sNPF	13	sNPF-R	13
Head	subperineurial glial cell	Psi	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	Rbp6	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	Rfx	1	AstC	1	AstC-R2	1
Head	subperineurial glial cell	Rfx	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	Tet	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	Trf2	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	crp	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	dimm	1	AstC	1	AstC-R2	1
Head	subperineurial glial cell	hth	13	sNPF	13	sNPF-R	13
Head	subperineurial glial cell	luna	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	onecut	10	sNPF	10	sNPF-R	10
Head	subperineurial glial cell	sima	4	sNPF	4	sNPF-R	4
Head	subperineurial glial cell	sr	16	sNPF	16	sNPF-R	16
Head	subperineurial glial cell	svp	10	sNPF	10	sNPF-R	10
Head	T neuron T2a	Atac3	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	CG16779	1	AstA	1	AstA-R1	1
Head	T neuron T2a	CG16779	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	CG44247	32	sNPF	32	sNPF-R	32
Head	T neuron T2a	Cf2	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	CrebB	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	Mef2	38	sNPF	38	sNPF-R	38
Head	T neuron T2a	Psi	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	Rbp6	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	Rfx	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	Rx	1	AstA	1	AstA-R1	1
Head	T neuron T2a	Tet	1	AstA	1	AstA-R1	1
Head	T neuron T2a	Tet	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	Trf2	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	bru3	1	AstA	1	AstA-R1	1
Head	T neuron T2a	crp	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	hth	4	AstA	4	AstA-R1	4
Head	T neuron T2a	hth	41	sNPF	41	sNPF-R	41
Head	T neuron T2a	luna	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	onecut	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	sima	11	sNPF	11	sNPF-R	11
Head	T neuron T2a	sr	32	sNPF	32	sNPF-R	32
Head	T neuron T2a	svp	32	sNPF	32	sNPF-R	32
Head	T neuron T3	Atac3	15	sNPF	15	sNPF-R	15
Head	T neuron T3	CG16779	15	sNPF	15	sNPF-R	15
Head	T neuron T3	CG44247	48	sNPF	48	sNPF-R	48
Head	T neuron T3	Cf2	15	sNPF	15	sNPF-R	15
Head	T neuron T3	CrebB	15	sNPF	15	sNPF-R	15
Head	T neuron T3	E2f1	1	AstC	1	AstC-R2	1
Head	T neuron T3	Mef2	48	sNPF	48	sNPF-R	48
Head	T neuron T3	Psi	15	sNPF	15	sNPF-R	15
Head	T neuron T3	Rbp6	15	sNPF	15	sNPF-R	15
Head	T neuron T3	Rfx	1	AstC	1	AstC-R2	1
Head	T neuron T3	Rfx	15	sNPF	15	sNPF-R	15
Head	T neuron T3	Tet	15	sNPF	15	sNPF-R	15
Head	T neuron T3	Trf2	15	sNPF	15	sNPF-R	15
Head	T neuron T3	crp	15	sNPF	15	sNPF-R	15
Head	T neuron T3	dimm	1	AstC	1	AstC-R2	1
Head	T neuron T3	hth	60	sNPF	60	sNPF-R	60
Head	T neuron T3	luna	15	sNPF	15	sNPF-R	15
Head	T neuron T3	onecut	18	sNPF	18	sNPF-R	18
Head	T neuron T3	sima	15	sNPF	15	sNPF-R	15
Head	T neuron T3	sr	48	sNPF	48	sNPF-R	48
Head	T neuron T3	svp	57	sNPF	57	sNPF-R	57
Head	T neuron T4/T5	Atac3	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	CG16779	2	AstA	2	AstA-R1	2
Head	T neuron T4/T5	CG16779	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	CG44247	22	sNPF	22	sNPF-R	22
Head	T neuron T4/T5	Cf2	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	CrebB	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	E2f1	1	AstC	1	AstC-R2	1
Head	T neuron T4/T5	Mef2	19	sNPF	19	sNPF-R	19
Head	T neuron T4/T5	Psi	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	Rbp6	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	Rfx	1	AstC	1	AstC-R2	1
Head	T neuron T4/T5	Rfx	1	NPF	1	NPFR	1
Head	T neuron T4/T5	Rfx	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	Rx	2	AstA	2	AstA-R1	2
Head	T neuron T4/T5	Tet	2	AstA	2	AstA-R1	2
Head	T neuron T4/T5	Tet	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	Trf2	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	bru3	2	AstA	2	AstA-R1	2
Head	T neuron T4/T5	crp	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	dimm	1	AstC	1	AstC-R2	1
Head	T neuron T4/T5	dimm	1	NPF	1	NPFR	1
Head	T neuron T4/T5	hth	8	AstA	8	AstA-R1	8
Head	T neuron T4/T5	hth	28	sNPF	28	sNPF-R	28
Head	T neuron T4/T5	luna	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	onecut	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	sima	7	sNPF	7	sNPF-R	7
Head	T neuron T4/T5	sr	16	sNPF	16	sNPF-R	16
Head	T neuron T4/T5	svp	25	sNPF	25	sNPF-R	25
Head	T neuron T4/T5a-b	Atac3	4	sNPF	4	sNPF-R	4
Head	T neuron T4/T5a-b	CG16779	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	CG44247	1	FMRFa	1	FMRFaR	1
Head	T neuron T4/T5a-b	CG44247	20	sNPF	20	sNPF-R	20
Head	T neuron T4/T5a-b	Cf2	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	CrebB	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	Mef2	20	sNPF	20	sNPF-R	20
Head	T neuron T4/T5a-b	Psi	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	Rbp6	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	Rfx	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	Tet	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	Trf2	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	crp	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	hth	14	sNPF	14	sNPF-R	14
Head	T neuron T4/T5a-b	luna	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	onecut	8	sNPF	8	sNPF-R	8
Head	T neuron T4/T5a-b	sima	5	sNPF	5	sNPF-R	5
Head	T neuron T4/T5a-b	sr	4	FMRFa	4	FMRFaR	4
Head	T neuron T4/T5a-b	sr	17	sNPF	17	sNPF-R	17
Head	T neuron T4/T5a-b	svp	11	sNPF	11	sNPF-R	11
Head	transmedullary neuron Tm1	Atac3	6	sNPF	6	sNPF-R	6
Head	transmedullary neuron Tm1	CG16779	4	AstA	4	AstA-R1	4
Head	transmedullary neuron Tm1	CG16779	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	CG44247	19	sNPF	19	sNPF-R	19
Head	transmedullary neuron Tm1	Cf2	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	CrebB	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	Mef2	28	sNPF	28	sNPF-R	28
Head	transmedullary neuron Tm1	Psi	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	Rbp6	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	Rfx	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	Rx	4	AstA	4	AstA-R1	4
Head	transmedullary neuron Tm1	Tet	4	AstA	4	AstA-R1	4
Head	transmedullary neuron Tm1	Tet	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	Trf2	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	bru3	4	AstA	4	AstA-R1	4
Head	transmedullary neuron Tm1	crp	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	hth	16	AstA	16	AstA-R1	16
Head	transmedullary neuron Tm1	hth	28	sNPF	28	sNPF-R	28
Head	transmedullary neuron Tm1	luna	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	onecut	10	sNPF	10	sNPF-R	10
Head	transmedullary neuron Tm1	sima	7	sNPF	7	sNPF-R	7
Head	transmedullary neuron Tm1	sr	16	sNPF	16	sNPF-R	16
Head	transmedullary neuron Tm1	svp	28	sNPF	28	sNPF-R	28
Head	transmedullary neuron Tm2	Atac3	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm2	CG16779	3	AstA	3	AstA-R1	3
Head	transmedullary neuron Tm2	CG16779	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	CG44247	20	sNPF	20	sNPF-R	20
Head	transmedullary neuron Tm2	Cf2	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	CrebB	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	Mef2	14	sNPF	14	sNPF-R	14
Head	transmedullary neuron Tm2	Psi	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	Rbp6	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	Rfx	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	Rx	3	AstA	3	AstA-R1	3
Head	transmedullary neuron Tm2	Tet	3	AstA	3	AstA-R1	3
Head	transmedullary neuron Tm2	Tet	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	Trf2	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	bru3	3	AstA	3	AstA-R1	3
Head	transmedullary neuron Tm2	crp	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	hth	12	AstA	12	AstA-R1	12
Head	transmedullary neuron Tm2	hth	20	sNPF	20	sNPF-R	20
Head	transmedullary neuron Tm2	luna	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	onecut	8	sNPF	8	sNPF-R	8
Head	transmedullary neuron Tm2	sima	5	sNPF	5	sNPF-R	5
Head	transmedullary neuron Tm2	sr	20	sNPF	20	sNPF-R	20
Head	transmedullary neuron Tm2	svp	20	sNPF	20	sNPF-R	20
Head	transmedullary neuron Tm20	Atac3	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	CG16779	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	CG44247	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm20	Cf2	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	CrebB	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	Mef2	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm20	Psi	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	Rbp6	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	Rfx	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	Tet	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	Trf2	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	crp	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	hth	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm20	luna	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	onecut	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	sima	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm20	sr	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm20	svp	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm29	Atac3	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	CG16779	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	CG44247	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	Cf2	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	CrebB	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	Mef2	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	Psi	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	Rbp6	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	Rfx	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	Tet	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	Trf2	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	crp	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	hth	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm29	luna	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	onecut	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	sima	1	sNPF	1	sNPF-R	1
Head	transmedullary neuron Tm29	sr	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm29	svp	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm3a	Atac3	11	sNPF	11	sNPF-R	11
Head	transmedullary neuron Tm3a	CG16779	1	AstA	1	AstA-R1	1
Head	transmedullary neuron Tm3a	CG16779	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	CG44247	36	sNPF	36	sNPF-R	36
Head	transmedullary neuron Tm3a	Cf2	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	CrebB	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	Mef2	30	sNPF	30	sNPF-R	30
Head	transmedullary neuron Tm3a	Psi	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	Rbp6	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	Rfx	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	Rx	1	AstA	1	AstA-R1	1
Head	transmedullary neuron Tm3a	Tet	1	AstA	1	AstA-R1	1
Head	transmedullary neuron Tm3a	Tet	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	Trf2	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	bru3	1	AstA	1	AstA-R1	1
Head	transmedullary neuron Tm3a	crp	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	hth	4	AstA	4	AstA-R1	4
Head	transmedullary neuron Tm3a	hth	48	sNPF	48	sNPF-R	48
Head	transmedullary neuron Tm3a	luna	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	onecut	15	sNPF	15	sNPF-R	15
Head	transmedullary neuron Tm3a	sima	12	sNPF	12	sNPF-R	12
Head	transmedullary neuron Tm3a	sr	30	sNPF	30	sNPF-R	30
Head	transmedullary neuron Tm3a	svp	39	sNPF	39	sNPF-R	39
Head	transmedullary neuron Tm4	Atac3	4	sNPF	4	sNPF-R	4
Head	transmedullary neuron Tm4	CG16779	1	AstA	1	AstA-R1	1
Head	transmedullary neuron Tm4	CG16779	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	CG44247	33	sNPF	33	sNPF-R	33
Head	transmedullary neuron Tm4	Cf2	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	CrebB	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	E2f1	2	AstC	2	AstC-R2	2
Head	transmedullary neuron Tm4	Mef2	24	sNPF	24	sNPF-R	24
Head	transmedullary neuron Tm4	Psi	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	Rbp6	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	Rfx	2	AstC	2	AstC-R2	2
Head	transmedullary neuron Tm4	Rfx	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	Rx	1	AstA	1	AstA-R1	1
Head	transmedullary neuron Tm4	Tet	1	AstA	1	AstA-R1	1
Head	transmedullary neuron Tm4	Tet	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	Trf2	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	bru3	1	AstA	1	AstA-R1	1
Head	transmedullary neuron Tm4	crp	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	dimm	2	AstC	2	AstC-R2	2
Head	transmedullary neuron Tm4	hth	4	AstA	4	AstA-R1	4
Head	transmedullary neuron Tm4	hth	36	sNPF	36	sNPF-R	36
Head	transmedullary neuron Tm4	luna	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	onecut	15	sNPF	15	sNPF-R	15
Head	transmedullary neuron Tm4	sima	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm4	sr	27	sNPF	27	sNPF-R	27
Head	transmedullary neuron Tm4	svp	27	sNPF	27	sNPF-R	27
Head	transmedullary neuron Tm9	Atac3	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	CG16779	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	CG44247	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm9	Cf2	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	CrebB	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	Mef2	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm9	Psi	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	Rbp6	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	Rfx	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	Tet	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	Trf2	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	crp	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	hth	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm9	luna	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	onecut	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	sima	3	sNPF	3	sNPF-R	3
Head	transmedullary neuron Tm9	sr	9	sNPF	9	sNPF-R	9
Head	transmedullary neuron Tm9	svp	9	sNPF	9	sNPF-R	9
Head	transmedullary Y neuron TmY14	Atac3	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	CG16779	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	CG44247	8	sNPF	8	sNPF-R	8
Head	transmedullary Y neuron TmY14	Cf2	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	CrebB	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	Mef2	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	Psi	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	Rbp6	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	Rfx	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	Tet	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	Trf2	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	crp	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	hth	8	sNPF	8	sNPF-R	8
Head	transmedullary Y neuron TmY14	luna	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	onecut	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	sima	2	sNPF	2	sNPF-R	2
Head	transmedullary Y neuron TmY14	sr	5	sNPF	5	sNPF-R	5
Head	transmedullary Y neuron TmY14	svp	8	sNPF	8	sNPF-R	8
Head	transmedullary Y neuron TmY5a	Atac3	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	CG16779	1	AstA	1	AstA-R1	1
Head	transmedullary Y neuron TmY5a	CG16779	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	CG44247	89	sNPF	89	sNPF-R	89
Head	transmedullary Y neuron TmY5a	Cf2	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	CrebB	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	Mef2	89	sNPF	89	sNPF-R	89
Head	transmedullary Y neuron TmY5a	Psi	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	Rbp6	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	Rfx	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	Rx	1	AstA	1	AstA-R1	1
Head	transmedullary Y neuron TmY5a	Tet	1	AstA	1	AstA-R1	1
Head	transmedullary Y neuron TmY5a	Tet	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	Trf2	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	bru3	1	AstA	1	AstA-R1	1
Head	transmedullary Y neuron TmY5a	crp	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	hth	4	AstA	4	AstA-R1	4
Head	transmedullary Y neuron TmY5a	hth	113	sNPF	113	sNPF-R	113
Head	transmedullary Y neuron TmY5a	luna	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	onecut	32	sNPF	32	sNPF-R	32
Head	transmedullary Y neuron TmY5a	sima	29	sNPF	29	sNPF-R	29
Head	transmedullary Y neuron TmY5a	sr	80	sNPF	80	sNPF-R	80
Head	transmedullary Y neuron TmY5a	svp	77	sNPF	77	sNPF-R	77
Head	transmedullary Y neuron TmY8	Atac3	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	CG16779	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	CG44247	12	sNPF	12	sNPF-R	12
Head	transmedullary Y neuron TmY8	Cf2	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	CrebB	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	E2f1	1	AstC	1	AstC-R2	1
Head	transmedullary Y neuron TmY8	Mef2	6	sNPF	6	sNPF-R	6
Head	transmedullary Y neuron TmY8	Psi	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	Rbp6	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	Rfx	1	AstC	1	AstC-R2	1
Head	transmedullary Y neuron TmY8	Rfx	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	Tet	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	Trf2	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	crp	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	dimm	1	AstC	1	AstC-R2	1
Head	transmedullary Y neuron TmY8	hth	12	sNPF	12	sNPF-R	12
Head	transmedullary Y neuron TmY8	luna	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	onecut	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	sima	3	sNPF	3	sNPF-R	3
Head	transmedullary Y neuron TmY8	sr	9	sNPF	9	sNPF-R	9
Head	transmedullary Y neuron TmY8	svp	6	sNPF	6	sNPF-R	6
Head	unannotated	Atac3	1311	sNPF	1311	sNPF-R	1311
Head	unannotated	CG16779	338	AstA	338	AstA-R1	338
Head	unannotated	CG16779	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	CG44247	79	FMRFa	79	FMRFaR	79
Head	unannotated	CG44247	4733	sNPF	4733	sNPF-R	4733
Head	unannotated	Cf2	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	CrebB	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	E2f1	210	AstC	210	AstC-R2	210
Head	unannotated	Mef2	3281	sNPF	3281	sNPF-R	3281
Head	unannotated	Psi	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	Rbp6	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	Rfx	210	AstC	210	AstC-R2	210
Head	unannotated	Rfx	53	NPF	53	NPFR	53
Head	unannotated	Rfx	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	Rx	338	AstA	338	AstA-R1	338
Head	unannotated	Tet	338	AstA	338	AstA-R1	338
Head	unannotated	Tet	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	Trf2	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	bru3	338	AstA	338	AstA-R1	338
Head	unannotated	crp	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	dimm	210	AstC	210	AstC-R2	210
Head	unannotated	dimm	53	NPF	53	NPFR	53
Head	unannotated	hth	1286	AstA	1286	AstA-R1	1286
Head	unannotated	hth	5351	sNPF	5351	sNPF-R	5351
Head	unannotated	luna	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	onecut	1922	sNPF	1922	sNPF-R	1922
Head	unannotated	sima	1367	sNPF	1367	sNPF-R	1367
Head	unannotated	sr	82	FMRFa	82	FMRFaR	82
Head	unannotated	sr	3914	sNPF	3914	sNPF-R	3914
Head	unannotated	svp	3710	sNPF	3710	sNPF-R	3710
Body	adult fat body	CG16779	1	AstA	1	AstA-R1	1
Body	adult fat body	Lim3	1	AstA	1	AstA-R1	1
Body	adult fat body	onecut	1	AstA	1	AstA-R1	1
Body	adult oenocyte	CG16779	1	AstA	1	AstA-R1	1
Body	adult oenocyte	Lim3	1	AstA	1	AstA-R1	1
Body	adult oenocyte	onecut	1	AstA	1	AstA-R1	1
Body	adult peripheral nervous system	Atf6	5	sNPF	5	sNPF-R	5
Body	adult peripheral nervous system	CG16779	5	AstA	5	AstA-R1	5
Body	adult peripheral nervous system	CG16779	2	sNPF	2	sNPF-R	2
Body	adult peripheral nervous system	HGTX	2	sNPF	2	sNPF-R	2
Body	adult peripheral nervous system	Lim3	5	AstA	5	AstA-R1	5
Body	adult peripheral nervous system	Lim3	2	sNPF	2	sNPF-R	2
Body	adult peripheral nervous system	acj6	2	sNPF	2	sNPF-R	2
Body	adult peripheral nervous system	dimm	2	AstC	2	AstC-R1	2
Body	adult peripheral nervous system	dimm	2	sNPF	2	sNPF-R	2
Body	adult peripheral nervous system	ftz-f1	2	sNPF	2	sNPF-R	2
Body	adult peripheral nervous system	kn	2	sNPF	2	sNPF-R	2
Body	adult peripheral nervous system	onecut	5	AstA	5	AstA-R1	5
Body	adult peripheral nervous system	onecut	2	sNPF	2	sNPF-R	2
Body	adult peripheral nervous system	pdm3	2	sNPF	2	sNPF-R	2
Body	adult peripheral nervous system	sr	8	sNPF	8	sNPF-R	8
Body	adult tracheal cell	Atf6	4	sNPF	4	sNPF-R	4
Body	adult tracheal cell	CG16779	1	sNPF	1	sNPF-R	1
Body	adult tracheal cell	HGTX	1	sNPF	1	sNPF-R	1
