tname	rgenename	tgenename
Head	hec	acj6,BtbVII,CG16779,CG32532,crp,Mef2,Rfx,Rx
Head	rk	bru3,bs,BtbVII,Cf2,CG16779,CG32532,CG44247,CHES-1-like,crp,Dbx,dimm,Dp,E2f1,Ets65A,ey,fkh,FoxP,hth,Kdm4B,Kr,Lim3,luna,Mef2,onecut,pb,pros,Psi,Rbp6,Rfx,sd,sima,Six4,SoxN,sr,Tet,Trf2,Vsx1,vvl
Head	sNPF-R	acj6,Atac3,bigmax,bru3,Cf2,CG16779,CG44247,CG9727,cnc,CrebB,crp,hth,Kr,Lmx1a,luna,maf-S,Mef2,nej,onecut,Psi,Rbp6,Rfx,sima,sr,svp,Tet,Trf2,trx,usp,vvl,Xbp1
Body	AkhR	Atf6,Cf2,ct,Dif,foxo,Hnf4,Hr39,Mitf,Mondo,Sox14,srp,svp,Trf2,trx
Body	AstA-R1	Abl,acj6,Atf6,bs,CG16779,CHES-1-like,crc,E2f1,esg,ewg,ey,fkh,FoxK,ftz-f1,Hr39,jim,jumu,Lim3,lov,Myc,onecut,pho,Psi,Ptx1,Sox100B,ss,Trf2,trx,tup,vnd,zfh2
Body	AstA-R2	abd-A,bin,Dif,Hand,Hr39,jim,Mef2,org-1,trx
Body	AstC-R1	Abl,bin,Dif,dimm,ftz-f1,hb,hbn,Hr39,hth,jim,Mef2,NfI,oc,onecut,org-1,otp,pdm3,Psi,sr,sv
Body	AstC-R2	bin,Dif,dimm,Hand,hb,hth,Mef2,onecut,org-1,pdm3
Body	CCAP-R	aop,bin,CG16779,croc,Dif,emc,Hand,Hr39,hth,onecut,org-1,pnt,vtd
Body	CCHa1-R	bin,CG16779,Dif,dimm,Hand,Lim3,Mef2,NfI,onecut,sr,trx
Body	CCHa2-R	acj6,CG16779,ewg,ftz-f1,sr
Body	CCKLR-17D1	acj6,CG12605,grn,Lim3,onecut,Rfx,ss
Body	CCKLR-17D3	acj6,CG16779,jim,Lim3,onecut,Rfx
Body	CNMaR	Atf3,Atf6,bs,CHES-1-like,cnc,crc,CrebB,dimm,E2f1,fkh,foxo,GATAe,ham,Hnf4,Jra,kay,Lim3,Mef2,NfI,otp,Psi,REPTOR-BP,sr,SREBP,svp,Trf2,vri,Xbp1
Body	CrzR	Atf3,Atf6,cnc,CrebB,ct,foxo,Hnf4,Mef2,Mondo,svp,Trf2,Xbp1
Body	Dh31-R	Atf6,bs,BtbVII,CG16779,CG32532,CHES-1-like,Dif,dimm,Doc1,E2f1,E5,ewg,FoxK,GATAe,Hand,kay,Lim3,Mef2,Mitf,NfI,onecut,Ptx1,shn,SoxN,sr,tin,Trf2,tup
Body	Dh44-R1	acj6,bi,CG12605,CG16779,CG4328,CG9650,ewg,ey,ftz,Lim3,nej,NfI,onecut,otp,pdm3,Psi,Rfx,SoxN,sr,tup,wor
Body	Dh44-R2	Atf3,bin,Cf2,CHES-1-like,cnc,CrebA,CrebB,cwo,Dif,E2f1,foxo,GATAe,ham,Hand,Hnf4,Hsf,kay,Lim3,Mef2,Mitf,Poxm,scro,sim,SREBP,srp,svp,Trf2,tup,Xbp1
Body	ETHR	abd-A,bs,dimm,E5,Hand,hbn,Mef2,onecut,pdm3,Ubx
Body	FMRFaR	CHES-1-like,E2f1,emc,Ets65A,klu,lola,Mef2,Myc,sr,svp,tj,Xbp1
Body	Gyc76C	BtbVII,CHES-1-like,cnc,CrebB,da,Dp,E2f1,foxo,Hnf4,kay,Mitf,nej,salm,SREBP,trx
Body	InR	Atf3,Atf6,bs,CG12605,CHES-1-like,Clk,cnc,crc,CrebA,CrebB,cwo,da,E2f1,Eip74EF,emc,foxo,GATAe,Hnf4,hth,kay,Mondo,Pdp1,scrt,Sox102F,Sox14,srp,ss,svp,Trf2,trx,vri,Xbp1
Body	Lgr1	Atf3,Awh,Blimp-1,crc,CrebB,dysf,foxo,Mef2,otp,Xbp1
Body	Lgr3	CG44247,EcR,jim,Lim3,onecut
Body	Lgr4	bin,CG16779,Dif,dimm,Drgx,Hand,jim,Mef2,NfI,org-1,pho,repo,so,sr
Body	Lkr	Doc1,Doc2,EcR,Ets65A,fkh,ftz-f1,Lim3,onecut,pb,pdm3
Body	MsR1	bin,dimm,hb,hth,Mef2,onecut,pnt
Body	MsR2	abd-A,dimm,dve,hth,Mef2,org-1
Body	NPFR	bin,ham,Hand,Mef2,NfI,pdm3,Rfx,vtd
Body	PK1-R	CrebA,Dif,dysf,foxo,grh,Hnf4
Body	PK2-R1	bi,Ets65A,grn,Lim3,Rfx,Ubx
Body	PK2-R2	bin,Mef2,Poxm
Body	Pdfr	Atf3,bin,BtbVII,Cf2,CHES-1-like,cnc,CrebA,CrebB,Dif,foxo,ham,Hand,hb,Hnf4,jim,kay,Mef2,Myc,nej,REPTOR-BP,sim,so,SREBP,srp,svp,Trf2
Body	Proc-R	Atf6,bin,br,CG12605,CG16779,CG44247,CHES-1-like,crc,CrebA,E2f1,emc,grn,H15,Hnf4,Hrb87F,Hrb98DE,hth,klu,lola,Mef2,Mitf,Myc,nau,NfI,org-1,scrt,sr,sug,tin,tj,vri,Xbp1
Body	RYa-R	Atf3,Atf6,bs,BtbVII,byn,Cf2,CHES-1-like,cnc,crc,CrebB,cwo,da,Dif,dimm,Doc1,dysf,E2f1,ewg,FoxK,foxo,Hnf4,kay,Mef2,Mitf,nej,onecut,otp,ovo,Pdp1,Psi,Ptx1,Rfx,Trf2,trx,vri,Vsx2,vtd,Xbp1
Body	SIFaR	Abl,CG16779,CG4328,Ets65A,ftz-f1,gsb,hbn,Lmx1a,Oli,onecut,pb,sr
Body	SPR	abd-A,Abl,Atf3,BtbVII,Cnx99A,Dif,Dll,Drgx,E2f1,E5,ems,hth,jim,onecut,pdm3,repo,REPTOR-BP,retn,rn,sob,SoxN
Body	TkR86C	acj6,Ets65A,fd102C,ftz-f1,Lim3,onecut,Rfx,sr
Body	TkR99D	bin,CG4328,Dif,Hand,Hr39,jim,kn,Lim3,Lmx1a,Mef2,onecut,scro,SoxN
Body	Tor	Atf3,byn,crc,CrebA,CrebB,CTCF,cwo,foxo,kay,Mef2,Rel,Trf2
Body	TrissinR	CG4328,Dif,E2f1,ewg,ham,hbn,Lmx1a,Mef2,NfI,onecut,pho,sim,sr,svp
Body	hec	acj6,CG16779,CG4328,Lim3
Body	rk	abd-A,Abl,CG16779,CG4328,ftz-f1,hth,jim,lbl,Lim1,lz,onecut,pdm3,Psi,sim,srp,vtd
Body	sNPF-R	abd-A,acj6,Atf6,BtbVII,CG16779,CG4328,CG9650,dimm,ewg,FoxK,ftz-f1,ham,HGTX,jim,kn,Lim3,Lmx1a,Mef2,NfI,onecut,pdm3,Poxm,Rfx,Rx,sr,Trf2,trx,Vsx2,vtd
Antenna	AkhR	bowl,foxo,grh,hth,lbl,Xrp1
Antenna	AstA-R1	Abl,bru3,bs,CG16779,CHES-1-like,CrebB,da,Ets98B,Fer1,FoxP,Hnf4,hth,jim,Kdm4B,Lim3,Mef2,onecut,ovo,pan,peb,pnt,Rbp6,Rel,Rfx,rn,Rx,Sox14,sr,sv,Trf2,trx,tup,Xbp1
Antenna	AstA-R2	CG9876,mid
Antenna	AstC-R1	bru3,fkh,FoxP,onecut,peb,Rbp6,Rfx
